"CO_PAIS";"CO_BLOCO";"NO_BLOCO";"NO_BLOCO_ING";"NO_BLOCO_ESP"
"720";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"728";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"782";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"833";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"888";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"289";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"507";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"623";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"660";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"665";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"489";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"450";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"474";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"528";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"640";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"675";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"756";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"780";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"783";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"177";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"193";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"329";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"505";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"145";"51";"África";"Africa (minus MIDDLE EAST)";"África (menos ORIENTE MEDIO)"
"815";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"705";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"345";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"309";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"199";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"090";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"235";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"088";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"065";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"580";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
