CO_ANO;CO_MES;SH4;CO_PAIS;SG_UF_MUN;CO_MUN;KG_LIQUIDO;VL_FOB
2001;8;2204;845;RS;4315305;624;389
2001;7;2204;586;MS;5206606;103274;34123
2001;2;2204;586;PR;4123808;496;438
2001;2;2204;845;RS;4315305;84;62
2001;2;2204;271;RS;4302105;5832;11534
2001;5;2204;586;SP;3450308;1798;2800
2001;4;2204;586;PR;4108304;240763;107486
2001;6;2204;586;MS;5206606;75244;36929
2001;6;2204;586;PR;4108304;292818;127716
2001;11;2204;586;PR;4123808;288;258
2001;12;2204;586;SP;3450308;2697;4200
2001;4;2204;586;MS;5206606;59312;31229
2001;11;2204;586;MS;5206606;279107;117627
2001;9;2204;399;RS;4302105;60000;29400
2001;12;2204;97;MS;5206606;11058;4629
2001;11;2204;528;SP;3446801;359;483
2001;1;2204;845;RS;4315305;215;161
2001;10;2204;845;RS;4315305;600;358
2001;3;2204;249;SP;3418800;5661;42225
2001;11;2204;249;SP;3418800;352;832
2001;10;2204;399;SP;3450308;23770;8449
2002;12;2204;528;SP;3446801;523;180
2002;7;2204;586;MS;5206606;78051;27703
2002;1;2204;586;PR;4108304;419891;196798
2002;11;2204;586;MS;5206606;189725;60200
2002;9;2204;586;MS;5206606;65146;22025
2002;7;2204;845;PR;4108304;1500;367
2002;3;2204;845;RS;4315305;816;601
2002;7;2204;607;RJ;3304557;44;27
2002;9;2204;845;RS;4315305;600;376
2002;9;2204;845;PR;4108809;11980;3244
2002;2;2204;586;MS;5206606;31848;18349
2002;5;2204;586;PR;4108809;5222;2569
2002;2;2204;97;SP;3450308;362;880
2002;12;2204;586;PR;4108304;18500;5540
2002;12;2204;586;PR;4108809;18133;5841
2002;10;2204;586;MS;5206606;142464;44226
2002;10;2204;586;PR;4108809;9221;2446
2002;4;2204;845;RS;4315305;240;140
2002;6;2204;845;PR;4108809;5890;2420
2002;2;2204;845;RS;4315305;696;488
2002;2;2204;399;RS;4302105;14290;17308
2002;6;2204;586;PR;4108304;17559;7976
2002;3;2204;586;PR;4108809;2532;940
2002;1;2204;345;SP;3450308;8597;15195
2002;1;2204;249;SP;3418800;779;1721
2002;11;2204;586;PR;4108809;13572;4321
2002;9;2204;586;PR;4108304;135535;51259
2002;10;2204;580;RS;4304804;364;18
2002;6;2204;271;RS;4302105;5832;11534
2002;1;2204;23;ES;3205309;1080;4626
2002;10;2204;97;SP;3450308;2096;4632
2002;3;2204;399;SP;3439400;2925;9564
2002;2;2204;586;PR;4108304;185549;86784
2002;11;2204;586;PR;4108304;24236;8205
2002;7;2204;586;PR;4108304;127747;51529
2002;4;2204;399;SP;3450308;23940;10161
2002;7;2204;97;PR;4108304;2760;1808
2002;3;2204;586;MS;5206606;69846;37324
2002;9;2204;249;PE;2608750;3200;5649
2002;1;2204;586;PR;4108809;2186;815
2002;1;2204;87;RS;4302105;405;1800
2002;3;2204;271;RS;4302105;5832;11534
