CO_PAIS;CO_PAIS_ISON3;CO_PAIS_ISOA3;NO_PAIS;NO_PAIS_ING;NO_PAIS_ESP;CO_BLOCO;NO_BLOCO;NO_BLOCO_ING;NO_BLOCO_ESP
840;898;ZZZ;União das Repúblicas Socialistas Soviéticas;Union of Soviet Socialist Republics;Unión de Repúblicas Socialistas Soviéticas;112;Europa;Europe;Europa
845;858;URY;Uruguai;Uruguay;Uruguay;48;América do Sul;South America;América del Sur
847;860;UZB;Uzbequistão;Uzbekistan;Uzbekistán;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
848;336;VAT;Vaticano;Vatican City;Santa Sede (Vaticano);112;Europa;Europe;Europa
850;862;VEN;Venezuela;Venezuela;Venezuela;48;América do Sul;South America;América del Sur
858;704;VNM;Vietnã;Vietnam;Viet Nam;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
863;92;VGB;Virgens, Ilhas (Britânicas);Virgin Islands (UK);Vírgenes Británicas, Islas;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
866;850;VIR;Virgens, Ilhas (Americanas);Virgin Islands (USA);Vírgenes de los Estados Unidos, Islas;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
870;242;FJI;Fiji;Fiji;Fiji;61;Oceania;Oceania;Oceania
873;840;USA;Wake, Ilha;Wake Island;Isla Wake;61;Oceania;Oceania;Oceania
875;876;WLF;Wallis e Futuna, Ilhas;Wallis and Futuna;Wallis y Futuna;61;Oceania;Oceania;Oceania
888;180;COD;Congo, República Democrática;Democratic Republic of the Congo;República Democrática del Congo;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
890;894;ZMB;Zâmbia;Zambia;Zambia;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
895;592;PCZ;Zona do Canal do Panamá;Panama Canal Zone;Zona del Canal de Panamá;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
