CO_PAIS;CO_PAIS_ISON3;CO_PAIS_ISOA3;NO_PAIS;NO_PAIS_ING;NO_PAIS_ESP;CO_BLOCO;NO_BLOCO;NO_BLOCO_ING;NO_BLOCO_ESP
244;784;ARE;Emirados Árabes Unidos;United Arab Emirates;Emiratos Árabes Unidos;41;Oriente Médio;Middle East;Oriente Medio
245;724;ESP;Espanha;Spain;España;112;Europa;Europe;Europa
246;705;SVN;Eslovênia;Slovenia;Eslovenia;112;Europa;Europe;Europa
247;703;SVK;Eslováquia;Slovakia;Eslovaquia;112;Europa;Europe;Europa
249;840;USA;Estados Unidos;United States;Estados Unidos;107;América do Norte;North America;América del norte
251;233;EST;Estônia;Estonia;Estonia;112;Europa;Europe;Europa
253;231;ETH;Etiópia;Ethiopia;Etiopía;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
255;238;FLK;Falkland (Malvinas);Falkland Islands (Malvinas);Malvinas (Falkland), Islas;48;América do Sul;South America;América del Sur
259;234;FRO;Faroe, Ilhas;Faroe Islands;Feroé, Islas;112;Europa;Europe;Europa
267;608;PHL;Filipinas;Philippines;Filipinas;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
271;246;FIN;Finlândia;Finland;Finlandia;112;Europa;Europe;Europa
275;250;FRA;França;France;Francia;112;Europa;Europe;Europa
281;266;GAB;Gabão;Gabon;Gabón;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
285;270;GMB;Gâmbia;Gambia;Gambia;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
289;288;GHA;Gana;Ghana;Ghana;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
291;268;GEO;Geórgia;Georgia;Georgia;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
293;292;GIB;Gibraltar;Gibraltar;Gibraltar;112;Europa;Europe;Europa
297;308;GRD;Granada;Grenada;Granada;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
301;300;GRC;Grécia;Greece;Grecia;112;Europa;Europe;Europa
305;304;GRL;Groenlândia;Greenland;Groenlandia;112;Europa;Europe;Europa
309;312;GLP;Guadalupe;Guadeloupe;Guadalupe;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
313;316;GUM;Guam;Guam;Guam;61;Oceania;Oceania;Oceania
317;320;GTM;Guatemala;Guatemala;Guatemala;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
321;898;GGY;Guernsey;Guernsey;Guernsey;112;Europa;Europe;Europa
325;254;GUF;Guiana Francesa;French Guyana;Guyana Francesa;48;América do Sul;South America;América del Sur
329;324;GIN;Guiné;Guinea;Guinea;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
331;226;GNQ;Guiné Equatorial;Equatorial Guinea;Guinea Ecuatorial;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
334;624;GNB;Guiné-Bissau;Guinea-Bissau;Guinea-Bissau;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
337;328;GUY;Guiana;Guyana;Guyana;48;América do Sul;South America;América del Sur
341;332;HTI;Haiti;Haiti;Haiti;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
345;340;HND;Honduras;Honduras;Honduras;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
351;344;HKG;Hong Kong;Hong Kong;Hong Kong;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
355;348;HUN;Hungria;Hungary;Hungría;112;Europa;Europe;Europa
357;887;YEM;Iêmen;Yemen;Yemen;41;Oriente Médio;Middle East;Oriente Medio
358;720;YMD;Iêmen Democrático;Democratic Yemen;Yemen Democrático;41;Oriente Médio;Middle East;Oriente Medio
359;833;IMN;Ilha de Man;Isle of Man;Isla de Man;112;Europa;Europe;Europa
361;356;IND;Índia;India;India;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
365;360;IDN;Indonésia;Indonesia;Indonesia;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
367;826;GBR;Inglaterra;England;Inglaterra;112;Europa;Europe;Europa
369;368;IRQ;Iraque;Iraq;Irak;41;Oriente Médio;Middle East;Oriente Medio
372;364;IRN;Irã;Iran;Irán;41;Oriente Médio;Middle East;Oriente Medio
375;372;IRL;Irlanda;Ireland;Irlanda;112;Europa;Europe;Europa
379;352;ISL;Islândia;Iceland;Islandia;112;Europa;Europe;Europa
383;376;ISR;Israel;Israel;Israel;41;Oriente Médio;Middle East;Oriente Medio
386;380;ITA;Itália;Italy;Italia;112;Europa;Europe;Europa
388;891;SCG;Iugoslávia;Yugoslavia;Yugoslavia;112;Europa;Europe;Europa
391;388;JAM;Jamaica;Jamaica;Jamaica;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
393;898;ZZZ;Jersey;Jersey;Jersey;112;Europa;Europe;Europa
396;840;USA;Johnston, Ilhas;Johnston (Island);Johnston (Isla);61;Oceania;Oceania;Oceania
399;392;JPN;Japão;Japan;Japón;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
403;400;JOR;Jordânia;Jordan;Jordania;41;Oriente Médio;Middle East;Oriente Medio
411;296;KIR;Kiribati;Kiribati;Kiribati;61;Oceania;Oceania;Oceania
420;418;LAO;Laos;Laos;Laos;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
423;458;MYS;Lebuan, Ilhas;Lebuan;Lebuan;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
426;426;LSO;Lesoto;Lesotho;Lesotho;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
427;428;LVA;Letônia;Latvia;Letonia;112;Europa;Europe;Europa
431;422;LBN;Líbano;Lebanon;Líbano;41;Oriente Médio;Middle East;Oriente Medio
434;430;LBR;Libéria;Liberia;Liberia;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
438;434;LBY;Líbia;Libya;Libia;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
440;438;LIE;Liechtenstein;Liechtenstein;Liechtenstein;112;Europa;Europe;Europa
442;440;LTU;Lituânia;Lithuania;Lituania;112;Europa;Europe;Europa
445;442;LUX;Luxemburgo;Luxembourg;Luxemburgo;112;Europa;Europe;Europa
447;446;MAC;Macau;Macao;Macao;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
449;807;MKD;Macedônia;Macedonia;Macedonia;112;Europa;Europe;Europa
450;450;MDG;Madagascar;Madagascar;Madagascar;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
452;620;PRT;Madeira, Ilha da;Madeira;Madeira;112;Europa;Europe;Europa
455;458;MYS;Malásia;Malaysia;Malasia;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
458;454;MWI;Malavi;Malawi;Malawi;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
461;462;MDV;Maldivas;Maldives;Maldivas;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
464;466;MLI;Mali;Mali;Mali;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
